user_id,job_id,cbf_score,cf_score,hybrid_recomputed,rank
U001,J103,0.85,0.70,0.805,1
U001,J108,0.72,0.65,0.699,2
U001,J113,0.66,0.68,0.666,3
U001,J111,0.50,0.55,0.515,4
U001,J102,0.44,0.58,0.482,5
U002,J102,0.88,0.74,0.838,1
U002,J111,0.68,0.70,0.686,2
U002,J105,0.54,0.60,0.558,3
U002,J112,0.60,0.50,0.570,4
U002,J101,0.48,0.45,0.471,5
U003,J104,0.91,0.64,0.829,1
U003,J114,0.78,0.50,0.696,2
U003,J103,0.52,0.40,0.484,3
U003,J109,0.46,0.42,0.448,4
U003,J106,0.50,0.47,0.491,5
U004,J106,0.89,0.72,0.839,1
U004,J115,0.70,0.60,0.670,2
U004,J105,0.60,0.55,0.585,3
U004,J102,0.48,0.50,0.486,4
U004,J104,0.42,0.40,0.414,5
U005,J105,0.86,0.68,0.806,1
U005,J115,0.74,0.58,0.692,2
U005,J110,0.60,0.52,0.576,3
U005,J106,0.56,0.50,0.542,4
U005,J101,0.44,0.40,0.428,5
U006,J108,0.77,0.66,0.737,1
U006,J112,0.72,0.60,0.684,2
U006,J101,0.65,0.58,0.629,3
U006,J111,0.52,0.45,0.499,4
U006,J102,0.48,0.42,0.462,5
U007,J113,0.90,0.74,0.852,1
U007,J103,0.66,0.68,0.666,2
U007,J108,0.60,0.55,0.585,3
U007,J101,0.50,0.48,0.494,4
U007,J114,0.46,0.42,0.448,5
U008,J107,0.87,0.70,0.819,1
U008,J105,0.58,0.50,0.556,2
U008,J110,0.52,0.45,0.499,3
U008,J106,0.50,0.48,0.494,4
U008,J104,0.44,0.40,0.428,5
